Activity,naics,space_type,category
CNST_main_xxx,23,construction,construction
CNST_nres_xxx,23,construction,construction
CNST_offc_off,23,office,services
CNST_othr_xxx,23,construction,construction
CNST_res_xxx,23,construction,construction
ENGY_elec_hi,22,energy,utilities
ENGY_ngas_hi,22,energy,utilities
ENGY_offc_off,22,office,services
ENGY_ptrl_hi,22,energy,utilities
ENT_ent_ret,71,services,services
FIRE_fnin_off,52,services,services
FIRE_real_off,52,services,services
GOV_admn_gov,92,government,services
GOV_offc_off,92,government,services
HIED_hied_off_inst,61,education,services
HLTH_care_inst,62,health,services
HLTH_hosp_hosp,62,health,services
HLTH_othr_off_li,62,health,services
HOSP_acc_acc,71,services,services
HOSP_eat_ret_acc,71,retail,retail
INFO_info_off,51,services,services
INFO_info_off_li,51,services,services
K12_k12_k12,61,education,services
K12_k12_off,61,education,services
MFG_food_hi,31,manufacturing,manufacturing
MFG_food_li,31,manufacturing,manufacturing
MFG_htec_hi,33,manufacturing,manufacturing
MFG_htec_li,33,manufacturing,manufacturing
MFG_hvtw_hi,32,manufacturing,manufacturing
MFG_hvtw_li,32,manufacturing,manufacturing
MFG_lvtw_hi,32,manufacturing,manufacturing
MFG_offc_off,30,office,services
MFG_wdppr_hi,32,manufacturing,manufacturing
no_industry,0,undefined,services
RES_agmin_ag,11,agriculture,agriculture
RES_forst_log,11,forestry,agriculture
RES_offc_off,11,agriculture,services
RET_auto_ret,44,retail,retail
RET_nstor_off,44,office,services
RET_stor_off,44,retail,retail
RET_stor_ret,44,retail,retail
SERV_bus_off,56,service,services
SERV_home_xxx,81,service,services
SERV_nonp_off_inst,56,service,services
SERV_site_li,56,service,services
SERV_stor_ret,72,retail,retail
SERV_tech_off,54,service,services
TRNS_trns_off,48,service,services
TRNS_trns_ware,49,warehouse,warehouse
UTL_othr_off,22,service,services
UTL_othr_off_li,22,service,services
WHSL_offc_off,42,office,services
WHSL_whsl_ware,42,wholesale,wholesale