centroid,dms_orig,dms_dest,external_sta,travel_time,gamma
Birmingham AL,11,411,5007,37,1
Birmingham AL,11,419,5007,36,1
Birmingham AL,11,532,5007,37,1
Mobile AL,12,411,5007,39,1
Mobile AL,12,419,5007,38,1
Mobile AL,12,532,5007,39,1
Huntsville AL,19,411,5007,37,1
Huntsville AL,19,419,5007,35,1
Huntsville AL,19,532,5007,36,1
Anchorage AK,20,411,5002,44,0.544
Anchorage AK,20,411,5003,46,0.456
Anchorage AK,20,419,5002,47,0.542
Anchorage AK,20,419,5003,49,0.458
Anchorage AK,20,532,5002,44,0.586
Anchorage AK,20,532,5003,48,0.414
Phoenix AZ,41,411,5008,20.5,0.352
Phoenix AZ,41,411,5007,20.6,0.345
Phoenix AZ,41,411,5010,21.3,0.302
Phoenix AZ,41,419,5008,17.5,1
Phoenix AZ,41,532,5008,20.4,0.35
Phoenix AZ,41,532,5007,20.5,0.344
Phoenix AZ,41,532,5010,21.1,0.306
Tucson AZ,42,411,5008,22,0.347
Tucson AZ,42,411,5007,22.2,0.335
Tucson AZ,42,411,5010,22.5,0.318
Tucson AZ,42,419,5008,19.1,1
Tucson AZ,42,532,5008,22.1,0.347
Tucson AZ,42,532,5007,22.2,0.341
Tucson AZ,42,532,5010,22.7,0.312
Flagstaff AZ,49,411,5008,19.7,0.503
Flagstaff AZ,49,411,5007,19.75,0.497
Flagstaff AZ,49,419,5008,16.7,1
Flagstaff AZ,49,532,5008,19.5,0.51
Flagstaff AZ,49,532,5007,19.7,0.49
Little Rock AR,50,411,5007,32,1
Little Rock AR,50,419,5007,31,1
Little Rock AR,50,532,5007,32,1
Los Angeles CA,61,411,5010,15.3,0.581
Los Angeles CA,61,411,5009,16.6,0.419
Los Angeles CA,61,419,5009,13.2,1
Los Angeles CA,61,532,5010,15.4,0.586
Los Angeles CA,61,532,5009,16.8,0.414
Sacramento CA,62,411,5010,8.9,0.614
Sacramento CA,62,411,5009,10,0.386
Sacramento CA,62,419,5009,7,0.705
Sacramento CA,62,419,5008,8.7,0.295
Sacramento CA,62,532,5010,9,0.613
Sacramento CA,62,532,5009,10.1,0.387
San Diego CA,63,411,5010,18,0.479
San Diego CA,63,411,5009,20.5,0.285
San Diego CA,63,411,5007,21.5,0.236
San Diego CA,63,419,5009,15.7,1
San Diego CA,63,532,5010,18.1,0.474
San Diego CA,63,532,5009,20.5,0.288
San Diego CA,63,532,5007,21.5,0.238
San Francisco CA,64,411,5010,10.1,0.61
San Francisco CA,64,411,5009,11.3,0.39
San Francisco CA,64,419,5009,8.2,0.671
San Francisco CA,64,419,5008,9.8,0.329
San Francisco CA,64,532,5010,10.3,0.6
San Francisco CA,64,532,5009,11.4,0.4
Fresno CA,65,411,5010,11.7,0.596
Fresno CA,65,411,5009,12.9,0.404
Fresno CA,65,419,5009,9.7,1
Fresno CA,65,532,5010,11.9,0.58
Fresno CA,65,532,5009,12.9,0.42
Bakersfield CA,69,411,5010,13.4,0.565
Bakersfield CA,69,411,5009,14.3,0.435
Bakersfield CA,69,419,5009,11.3,1
Bakersfield CA,69,532,5010,13.5,0.557
Bakersfield CA,69,532,5009,14.3,0.443
Denver CO,81,411,5007,19.2,0.629
Denver CO,81,411,5003,21.9,0.371
Denver CO,81,419,5007,17.8,1
Denver CO,81,532,5007,19,0.638
Denver CO,81,532,5003,21.9,0.362
Buena Vista CO,89,411,5007,19.4,1
Buena Vista CO,89,419,5007,17.9,1
Buena Vista CO,89,532,5007,19.3,0.687
Buena Vista CO,89,532,5003,23.5,0.313
Hartford CT,91,411,5007,44,0.522
Hartford CT,91,411,5003,45,0.478
Hartford CT,91,419,5007,44,1
Hartford CT,91,532,5007,44,0.522
Hartford CT,91,532,5003,45,0.478
New Haven CT,92,411,5007,44,0.522
New Haven CT,92,411,5003,45,0.478
New Haven CT,92,419,5007,44,1
New Haven CT,92,532,5007,44,0.522
New Haven CT,92,532,5003,45,0.478
New London CT,99,411,5007,45,0.522
New London CT,99,411,5003,46,0.478
New London CT,99,419,5007,45,1
New London CT,99,532,5007,45,0.522
New London CT,99,532,5003,46,0.478
Wilmington DE,101,411,5007,43,0.523
Wilmington DE,101,411,5003,44,0.477
Wilmington DE,101,419,5007,41,1
Wilmington DE,101,532,5007,43,0.523
Wilmington DE,101,532,5003,44,0.477
Dover DE,109,411,5007,43,0.523
Dover DE,109,411,5003,44,0.477
Dover DE,109,419,5007,41,1
Dover DE,109,532,5007,43,0.523
Dover DE,109,532,5003,44,0.477
Washington DC,111,411,5007,41,0.524
Washington DC,111,411,5003,42,0.476
Washington DC,111,419,5007,41,1
Washington DC,111,532,5007,41,0.524
Washington DC,111,532,5003,42,0.476
Jacksonville FL,121,411,5007,43,1
Jacksonville FL,121,419,5007,42,1
Jacksonville FL,121,532,5007,43,1
Miami FL,122,411,5007,47,1
Miami FL,122,419,5007,46,1
Miami FL,122,532,5007,47,1
Orlando FL,123,411,5007,44,1
Orlando FL,123,419,5007,43,1
Orlando FL,123,532,5007,44,1
Tampa FL,124,411,5007,44,1
Tampa FL,124,419,5007,43,1
Tampa FL,124,532,5007,44,1
Pensacola FL,129,411,5007,40,1
Pensacola FL,129,419,5007,39,1
Pensacola FL,129,532,5007,40,1
Atlanta GA,131,411,5007,38,1
Atlanta GA,131,419,5007,37,1
Atlanta GA,131,532,5007,38,1
Savannah GA,132,411,5007,42,1
Savannah GA,132,419,5007,41,1
Savannah GA,132,532,5007,42,1
Columbus GA,139,411,5007,40,1
Columbus GA,139,419,5007,38,1
Columbus GA,139,532,5007,40,1
Ketchum ID,160,411,5007,9,1
Ketchum ID,160,419,5007,7.7,1
Ketchum ID,160,532,5007,9,1
Chicago IL,171,411,5007,31,0.532
Chicago IL,171,411,5003,32,0.468
Chicago IL,171,419,5007,30,0.594
Chicago IL,171,419,5003,33,0.406
Chicago IL,171,532,5007,31,0.532
Chicago IL,171,532,5003,32,0.468
East St Louis IL,172,411,5007,30,1
East St Louis IL,172,419,5007,29,1
East St Louis IL,172,532,5007,30,1
Bloomington IL,179,411,5007,31,0.532
Bloomington IL,179,411,5003,32,0.468
Bloomington IL,179,419,5007,29,1
Bloomington IL,179,532,5007,31,0.532
Bloomington IL,179,532,5003,32,0.468
Gary IN,181,411,5003,33,1
Gary IN,181,419,5007,31,0.591
Gary IN,181,419,5003,34,0.409
Gary IN,181,532,5007,32,0.531
Gary IN,181,532,5003,33,0.469
Indianapolis IN,182,411,5007,33,0.53
Indianapolis IN,182,411,5003,34,0.47
Indianapolis IN,182,419,5007,32,1
Indianapolis IN,182,532,5007,33,0.53
Indianapolis IN,182,532,5003,34,0.47
Fort Wayne IN,183,411,5007,34,0.529
Fort Wayne IN,183,411,5003,35,0.471
Fort Wayne IN,183,419,5007,32,1
Fort Wayne IN,183,532,5007,34,0.529
Fort Wayne IN,183,532,5003,35,0.471
Evansville IN,189,411,5007,33,1
Evansville IN,189,419,5007,31,1
Evansville IN,189,532,5007,33,1
Des Moines IA,190,411,5007,26,0.538
Des Moines IA,190,411,5003,27,0.462
Des Moines IA,190,419,5007,25,0.611
Des Moines IA,190,419,5003,28,0.389
Des Moines IA,190,532,5007,26,0.538
Des Moines IA,190,532,5003,27,0.462
Overland Park KS,201,411,5007,27,0.571
Overland Park KS,201,411,5003,29,0.429
Overland Park KS,201,419,5007,25,0.576
Overland Park KS,201,419,5008,27,0.424
Overland Park KS,201,532,5007,27,0.571
Overland Park KS,201,532,5003,29,0.429
Wichita KS,202,411,5007,26,0.607
Wichita KS,202,411,5003,29,0.393
Wichita KS,202,419,5007,24,1
Wichita KS,202,532,5007,26,0.607
Wichita KS,202,532,5003,29,0.393
Salina KS,209,411,5007,25,0.576
Salina KS,209,411,5003,27,0.424
Salina KS,209,419,5007,23.4,1
Salina KS,209,532,5007,25,0.576
Salina KS,209,532,5003,27,0.424
Florence KY,211,411,5007,35,0.528
Florence KY,211,411,5003,36,0.472
Florence KY,211,419,5007,33,1
Florence KY,211,532,5007,35,0.528
Florence KY,211,532,5003,36,0.472
Louisville KY,212,411,5007,34,1
Louisville KY,212,419,5007,32,1
Louisville KY,212,532,5007,34,1
Hopkinsville KY,219,411,5007,34,1
Hopkinsville KY,219,419,5007,32,1
Hopkinsville KY,219,532,5007,34,1
Baton Rouge LA,221,411,5007,37,1
Baton Rouge LA,221,419,5007,35,1
Baton Rouge LA,221,532,5007,37,1
Lake Charles LA,222,411,5007,36,1
Lake Charles LA,222,419,5007,34,1
Lake Charles LA,222,532,5007,36,1
New Orleans LA,223,411,5007,38,1
New Orleans LA,223,419,5007,36,1
New Orleans LA,223,532,5007,38,1
Shreveport LA,229,411,5007,33,1
Shreveport LA,229,419,5007,32,1
Shreveport LA,229,532,5007,33,1
Portland ME,230,411,5007,47,0.542
Portland ME,230,411,5003,49,0.458
Portland ME,230,419,5007,46,1
Portland ME,230,532,5007,47,0.542
Portland ME,230,532,5003,49,0.458
Baltimore MD,241,411,5007,42,0.524
Baltimore MD,241,411,5003,43,0.476
Baltimore MD,241,419,5007,41,1
Baltimore MD,241,532,5007,42,0.524
Baltimore MD,241,532,5003,43,0.476
Rockville MD,242,411,5007,41,0.524
Rockville MD,242,411,5003,42,0.476
Rockville MD,242,419,5007,41,1
Rockville MD,242,532,5007,41,0.524
Rockville MD,242,532,5003,42,0.476
Hagerstown MD,249,411,5007,41,0.524
Hagerstown MD,249,411,5003,42,0.476
Hagerstown MD,249,419,5007,40,1
Hagerstown MD,249,532,5007,41,0.524
Hagerstown MD,249,532,5003,42,0.476
Boston MA,251,411,5007,46,0.521
Boston MA,251,411,5003,47,0.479
Boston MA,251,419,5007,45,1
Boston MA,251,532,5007,46,0.521
Boston MA,251,532,5003,47,0.479
Fitchburg MA,259,411,5007,45,0.522
Fitchburg MA,259,411,5003,46,0.478
Fitchburg MA,259,419,5007,44,1
Fitchburg MA,259,532,5007,45,0.522
Fitchburg MA,259,532,5003,46,0.478
Detroit MI,261,411,5007,35,0.528
Detroit MI,261,411,5003,36,0.472
Detroit MI,261,419,5007,34,1
Detroit MI,261,532,5007,35,0.528
Detroit MI,261,532,5003,36,0.472
Grand Rapids MI,262,411,5007,33,0.53
Grand Rapids MI,262,411,5003,34,0.47
Grand Rapids MI,262,419,5007,32,0.589
Grand Rapids MI,262,419,5003,35,0.411
Grand Rapids MI,262,532,5007,33,0.53
Grand Rapids MI,262,532,5003,34,0.47
Gaylord MI,269,411,5003,34,1
Gaylord MI,269,419,5007,35,0.5
Gaylord MI,269,419,5003,35,0.5
Gaylord MI,269,532,5003,34,1
Minneapolis MN,271,411,5003,26,1
Minneapolis MN,271,419,5003,27,1
Minneapolis MN,271,532,5003,26,1
Duluth MN,279,411,5003,27,1
Duluth MN,279,419,5003,28,1
Duluth MN,279,532,5003,27,1
Jackson MS,280,411,5007,37,1
Jackson MS,280,419,5007,35,1
Jackson MS,280,532,5007,37,1
Kansas City MO,291,411,5007,26,0.574
Kansas City MO,291,411,5003,28,0.426
Kansas City MO,291,419,5007,25,0.539
Kansas City MO,291,419,5008,26,0.461
Kansas City MO,291,532,5007,26,0.574
Kansas City MO,291,532,5003,28,0.426
St Louis MO,292,411,5007,30,1
St Louis MO,292,419,5007,29,1
St Louis MO,292,532,5007,30,1
Springfield MO,299,411,5007,29,0.566
Springfield MO,299,411,5003,31,0.434
Springfield MO,299,419,5007,28,1
Springfield MO,299,532,5007,29,0.566
Springfield MO,299,532,5003,31,0.434
Bozeman MT,300,411,5003,11.7,0.425
Bozeman MT,300,411,5002,12.9,0.288
Bozeman MT,300,411,5006,12.9,0.288
Bozeman MT,300,419,5003,12.5,0.5
Bozeman MT,300,419,5007,12.5,0.5
Bozeman MT,300,532,5002,11.7,0.376
Bozeman MT,300,532,5003,11.7,0.376
Bozeman MT,300,532,5006,13,0.247
Omaha NE,311,411,5007,24,0.579
Omaha NE,311,411,5003,26,0.421
Omaha NE,311,419,5007,23.1,0.651
Omaha NE,311,419,5003,27,0.349
Omaha NE,311,532,5007,24,0.579
Omaha NE,311,532,5003,26,0.421
North Platte NE,319,411,5007,20.5,0.625
North Platte NE,319,411,5003,23.3,0.375
North Platte NE,319,419,5007,19.3,0.565
North Platte NE,319,419,5008,20.6,0.435
North Platte NE,319,532,5007,20.5,0.625
North Platte NE,319,532,5003,23.3,0.375
Las Vegas NV,321,411,5008,16.2,0.376
Las Vegas NV,321,411,5007,16.3,0.367
Las Vegas NV,321,411,5010,17.8,0.258
Las Vegas NV,321,419,5008,13,1
Las Vegas NV,321,532,5008,16,0.381
Las Vegas NV,321,532,5007,16,0.381
Las Vegas NV,321,532,5010,18,0.238
Reno NV,329,411,5009,9,0.675
Reno NV,329,411,5008,10.8,0.325
Reno NV,329,419,5008,6.5,0.515
Reno NV,329,419,5009,6.6,0.485
Reno NV,329,532,5009,9.2,1
Nashua NH,331,411,5007,46,0.521
Nashua NH,331,411,5003,47,0.479
Nashua NH,331,419,5007,45,1
Nashua NH,331,532,5007,46,0.521
Nashua NH,331,532,5003,47,0.479
Woodstock NH,339,411,5007,46,0.521
Woodstock NH,339,411,5003,47,0.479
Woodstock NH,339,419,5007,45,1
Woodstock NH,339,532,5007,46,0.521
Woodstock NH,339,532,5003,47,0.479
Newark NJ,341,411,5007,43,0.523
Newark NJ,341,411,5003,44,0.477
Newark NJ,341,419,5007,41,1
Newark NJ,341,532,5007,43,0.523
Newark NJ,341,532,5003,44,0.477
Trenton NJ,342,411,5007,43,0.523
Trenton NJ,342,411,5003,44,0.477
Trenton NJ,342,419,5007,41,1
Trenton NJ,342,532,5007,43,0.523
Trenton NJ,342,532,5003,44,0.477
Albuquerque NM,350,411,5007,21.2,0.693
Albuquerque NM,350,411,5003,26,0.307
Albuquerque NM,350,419,5007,20,0.534
Albuquerque NM,350,419,5008,20.7,0.466
Albuquerque NM,350,532,5007,21.2,0.693
Albuquerque NM,350,532,5003,26,0.307
Albany NY,361,411,5007,43,0.523
Albany NY,361,411,5003,44,0.477
Albany NY,361,419,5007,42,0.569
Albany NY,361,419,5003,45,0.431
Albany NY,361,532,5007,43,0.523
Albany NY,361,532,5003,44,0.477
Buffalo NY,362,411,5007,39,0.525
Buffalo NY,362,411,5003,40,0.475
Buffalo NY,362,419,5007,37,0.577
Buffalo NY,362,419,5003,40,0.423
Buffalo NY,362,532,5007,39,0.525
Buffalo NY,362,532,5003,40,0.475
Brooklyn NY,363,411,5007,43,0.523
Brooklyn NY,363,411,5003,44,0.477
Brooklyn NY,363,419,5007,42,0.546
Brooklyn NY,363,419,5003,44,0.454
Brooklyn NY,363,532,5007,43,0.523
Brooklyn NY,363,532,5003,44,0.477
Rochester NY,364,411,5007,40,0.525
Rochester NY,364,411,5003,41,0.475
Rochester NY,364,419,5007,38,0.575
Rochester NY,364,419,5003,41,0.425
Rochester NY,364,532,5007,40,0.525
Rochester NY,364,532,5003,41,0.475
Elmira NY,369,411,5007,41,0.524
Elmira NY,369,411,5003,42,0.476
Elmira NY,369,419,5007,39,0.574
Elmira NY,369,419,5003,42,0.426
Elmira NY,369,532,5007,41,0.524
Elmira NY,369,532,5003,42,0.476
Charlotte NC,371,411,5007,41,0.547
Charlotte NC,371,411,5003,43,0.453
Charlotte NC,371,419,5007,39,1
Charlotte NC,371,532,5007,41,0.547
Charlotte NC,371,532,5003,43,0.453
Greensboro NC,372,411,5007,41,0.547
Greensboro NC,372,411,5003,43,0.453
Greensboro NC,372,419,5007,40,1
Greensboro NC,372,532,5007,41,0.547
Greensboro NC,372,532,5003,43,0.453
Cary NC,373,411,5007,42,0.546
Cary NC,373,411,5003,44,0.454
Cary NC,373,419,5007,41,1
Cary NC,373,532,5007,42,0.546
Cary NC,373,532,5003,44,0.454
Asheville NC,379,411,5007,39,0.55
Asheville NC,379,411,5003,41,0.45
Asheville NC,379,419,5007,38,1
Asheville NC,379,532,5007,39,0.55
Asheville NC,379,532,5003,41,0.45
Fargo ND,380,411,5003,22.5,1
Fargo ND,380,419,5003,23.4,0.672
Fargo ND,380,419,5007,28,0.328
Fargo ND,380,532,5003,22.5,1
Cincinnati OH,391,411,5007,35,0.528
Cincinnati OH,391,411,5003,36,0.472
Cincinnati OH,391,419,5007,33,0.612
Cincinnati OH,391,419,5003,37,0.388
Cincinnati OH,391,532,5007,35,0.528
Cincinnati OH,391,532,5003,36,0.472
Cleveland OH,392,411,5007,36,0.554
Cleveland OH,392,411,5003,38,0.446
Cleveland OH,392,419,5007,35,0.607
Cleveland OH,392,419,5003,39,0.393
Cleveland OH,392,532,5007,36,0.554
Cleveland OH,392,532,5003,38,0.446
Columbus OH,393,411,5007,36,0.527
Columbus OH,393,411,5003,37,0.473
Columbus OH,393,419,5007,34,1
Columbus OH,393,532,5007,36,0.527
Columbus OH,393,532,5003,37,0.473
Dayton OH,394,411,5007,35,0.528
Dayton OH,394,411,5003,36,0.472
Dayton OH,394,419,5007,34,1
Dayton OH,394,532,5007,35,0.528
Dayton OH,394,532,5003,36,0.472
Toledo OH,399,411,5007,35,0.528
Toledo OH,399,411,5003,36,0.472
Toledo OH,399,419,5007,33,0.612
Toledo OH,399,419,5003,37,0.388
Toledo OH,399,532,5007,35,0.528
Toledo OH,399,532,5003,36,0.472
Oklahoma City OK,401,411,5007,28,1
Oklahoma City OK,401,419,5007,27,1
Oklahoma City OK,401,532,5007,28,1
Tulsa OK,402,411,5007,28,1
Tulsa OK,402,419,5007,27,1
Tulsa OK,402,532,5007,28,1
Stillwater OK,409,411,5007,27,1
Stillwater OK,409,419,5007,26,1
Stillwater OK,409,532,5007,27,1
Philadelphia PA,421,411,5007,42,0.524
Philadelphia PA,421,411,5003,43,0.476
Philadelphia PA,421,419,5007,41,0.57
Philadelphia PA,421,419,5003,44,0.43
Philadelphia PA,421,532,5007,42,0.524
Philadelphia PA,421,532,5003,43,0.476
Pittsburgh PA,422,411,5007,38,0.526
Pittsburgh PA,422,411,5003,39,0.474
Pittsburgh PA,422,419,5007,36,0.579
Pittsburgh PA,422,419,5003,39,0.421
Pittsburgh PA,422,532,5007,38,0.526
Pittsburgh PA,422,532,5003,39,0.474
Allentown PA,423,411,5007,42,0.524
Allentown PA,423,411,5003,43,0.476
Allentown PA,423,419,5007,40,0.572
Allentown PA,423,419,5003,43,0.428
Allentown PA,423,532,5007,42,0.524
Allentown PA,423,532,5003,43,0.476
Harrisburg PA,429,411,5007,41,0.5
Harrisburg PA,429,411,5003,41,0.5
Harrisburg PA,429,419,5007,39,0.574
Harrisburg PA,429,419,5003,42,0.426
Harrisburg PA,429,532,5007,41,0.5
Harrisburg PA,429,532,5003,41,0.5
Providence RI,441,411,5007,46,0.521
Providence RI,441,411,5003,47,0.479
Providence RI,441,419,5007,44,0.566
Providence RI,441,419,5003,47,0.434
Providence RI,441,532,5007,46,0.521
Providence RI,441,532,5003,47,0.479
Charleston SC,451,411,5007,43,1
Charleston SC,451,419,5007,41,1
Charleston SC,451,532,5007,43,1
Greenville SC,452,411,5007,40,1
Greenville SC,452,419,5007,39,1
Greenville SC,452,532,5007,40,1
Columbia SC,459,411,5007,41,1
Columbia SC,459,419,5007,40,1
Columbia SC,459,532,5007,41,1
Sioux Falls SD,460,411,5003,23.8,0.549
Sioux Falls SD,460,411,5007,25,0.451
Sioux Falls SD,460,419,5007,24,0.5
Sioux Falls SD,460,419,5003,24,0.5
Sioux Falls SD,460,532,5003,23.8,0.549
Sioux Falls SD,460,532,5007,25,0.451
Memphis TN,471,411,5007,34,1
Memphis TN,471,419,5007,32,1
Memphis TN,471,532,5007,34,1
Nashville TN,472,411,5007,35,1
Nashville TN,472,419,5007,33,1
Nashville TN,472,532,5007,35,1
Knoxville TN,473,411,5007,37,0.552
Knoxville TN,473,411,5003,39,0.448
Knoxville TN,473,419,5007,36,1
Knoxville TN,473,532,5007,37,0.552
Knoxville TN,473,532,5003,39,0.448
Chattanooga TN,479,411,5007,37,1
Chattanooga TN,479,419,5007,35,1
Chattanooga TN,479,532,5007,37,1
Austin TX,481,411,5007,32,1
Austin TX,481,419,5007,31,1
Austin TX,481,532,5007,32,1
Beaumont TX,482,411,5007,35,1
Beaumont TX,482,419,5007,34,1
Beaumont TX,482,532,5007,35,1
Corpus Christi TX,483,411,5007,34,0.584
Corpus Christi TX,483,411,5010,37,0.416
Corpus Christi TX,483,419,5007,32,1
Corpus Christi TX,483,532,5007,34,0.584
Corpus Christi TX,483,532,5010,37,0.416
Arlington TX,484,411,5007,30,1
Arlington TX,484,419,5007,29,1
Arlington TX,484,532,5007,30,1
El Paso TX,485,411,5007,25,0.405
El Paso TX,485,411,5008,27,0.298
El Paso TX,485,411,5010,27,0.298
El Paso TX,485,419,5007,23.6,0.557
El Paso TX,485,419,5008,25,0.443
El Paso TX,485,532,5007,25,0.405
El Paso TX,485,532,5008,27,0.298
El Paso TX,485,532,5010,27,0.298
Houston TX,486,411,5007,34,1
Houston TX,486,419,5007,33,1
Houston TX,486,532,5007,34,1
Laredo TX,487,411,5007,34,0.584
Laredo TX,487,411,5010,37,0.416
Laredo TX,487,419,5007,33,1
Laredo TX,487,532,5007,34,0.584
Laredo TX,487,532,5010,37,0.416
San Antonio TX,488,411,5007,32,0.56
San Antonio TX,488,411,5010,34,0.44
San Antonio TX,488,419,5007,30,1
San Antonio TX,488,532,5007,32,0.56
San Antonio TX,488,532,5010,34,0.44
Blackwell TX,489,411,5007,28,1
Blackwell TX,489,419,5007,27,0.536
Blackwell TX,489,419,5008,28,0.464
Blackwell TX,489,532,5007,27,0.536
Blackwell TX,489,532,5007,28,0.464
Salt Lake City UT,491,411,5007,11.2,0.679
Salt Lake City UT,491,411,5008,13.5,0.321
Salt Lake City UT,491,419,5007,9.9,0.568
Salt Lake City UT,491,419,5008,10.6,0.432
Salt Lake City UT,491,532,5007,11.2,0.679
Salt Lake City UT,491,532,5008,13.5,0.321
Provo UT,499,411,5007,12,0.513
Provo UT,499,411,5008,14,0.277
Provo UT,499,411,5009,15,0.21
Provo UT,499,419,5007,10.6,0.555
Provo UT,499,419,5008,11.2,0.445
Provo UT,499,532,5007,12,0.513
Provo UT,499,532,5008,14,0.277
Provo UT,499,532,5009,15,0.21
Burlington VT,500,411,5007,46,0.521
Burlington VT,500,411,5003,47,0.479
Burlington VT,500,419,5007,44,0.566
Burlington VT,500,419,5003,47,0.434
Burlington VT,500,532,5007,46,0.521
Burlington VT,500,532,5003,47,0.479
Richmond VA,511,411,5007,42,1
Richmond VA,511,419,5007,41,1
Richmond VA,511,532,5007,42,1
Norfolk VA,512,411,5007,44,1
Norfolk VA,512,419,5007,42,1
Norfolk VA,512,532,5007,44,1
Alexandria VA,513,411,5007,41,0.524
Alexandria VA,513,411,5003,42,0.476
Alexandria VA,513,419,5007,40,0.572
Alexandria VA,513,419,5003,43,0.428
Alexandria VA,513,532,5007,41,0.524
Alexandria VA,513,532,5003,42,0.476
Roanoke VA,519,411,5007,40,0.549
Roanoke VA,519,411,5003,42,0.451
Roanoke VA,519,419,5007,39,1
Roanoke VA,519,532,5007,40,0.549
Roanoke VA,519,532,5003,42,0.451
Seattle WA,531,411,5002,2.7,0.901
Seattle WA,531,411,5003,5.4,0.056
Seattle WA,531,411,5001,5.8,0.042
Seattle WA,531,419,5002,5.8,0.522
Seattle WA,531,419,5003,6.3,0.375
Seattle WA,531,419,5001,8.7,0.103
Seattle WA,531,532,5002,2.5,0.896
Seattle WA,531,532,5001,4.8,0.066
Seattle WA,531,532,5003,5.5,0.038
Spokane WA,539,411,5003,5.5,0.638
Spokane WA,539,411,5004,6.8,0.273
Spokane WA,539,411,5005,9,0.089
Spokane WA,539,419,5003,6.3,0.691
Spokane WA,539,419,5004,7.7,0.309
Spokane WA,539,532,5003,5.5,0.515
Spokane WA,539,532,5002,6.5,0.264
Spokane WA,539,532,5004,6.8,0.221
Charleston WV,540,411,5007,37,1
Charleston WV,540,419,5007,36,0.604
Charleston WV,540,419,5003,40,0.396
Charleston WV,540,532,5007,36,1
Milwaukee WI,551,411,5003,31,0.532
Milwaukee WI,551,411,5007,32,0.468
Milwaukee WI,551,419,5007,30,0.564
Milwaukee WI,551,419,5003,32,0.436
Milwaukee WI,551,532,5003,31,0.532
Milwaukee WI,551,532,5007,32,0.468
Green Bay WI,559,411,5003,30,0.594
Green Bay WI,559,411,5007,33,0.406
Green Bay WI,559,419,5003,31,0.532
Green Bay WI,559,419,5007,32,0.468
Green Bay WI,559,532,5003,30,0.594
Green Bay WI,559,532,5007,33,0.406
Casper WY,560,411,5007,17,0.529
Casper WY,560,411,5003,17.5,0.471
Casper WY,560,419,5007,15.5,0.525
Casper WY,560,419,5008,15.9,0.475
Casper WY,560,532,5007,17,0.529
Casper WY,560,532,5003,17.5,0.471
