year,age_group,population
2009,0,307922
2009,5,305875
2009,10,315495
2009,15,326938
2009,20,308547
2009,25,325640
2009,30,317326
2009,35,311035
2009,40,310550
2009,45,335349
2009,50,349928
2009,55,339569
2009,60,285875
2009,65,199300
2009,70,140507
2009,75,109009
2009,80,89744
2009,85,93194
2010,0,306379
2010,5,307200
2010,10,314859
2010,15,324815
2010,20,311840
2010,25,327073
2010,30,321716
2010,35,313936
2010,40,311950
2010,45,331844
2010,50,346371
2010,55,339816
2010,60,293470
2010,65,211206
2010,70,148235
2010,75,112030
2010,80,89565
2010,85,94672
2011,0,304844
2011,5,308533
2011,10,314225
2011,15,322708
2011,20,315168
2011,25,328514
2011,30,326167
2011,35,316865
2011,40,313357
2011,45,328376
2011,50,342851
2011,55,340064
2011,60,301267
2011,65,223824
2011,70,156390
2011,75,115136
2011,80,89388
2011,85,96175
2012,0,303317
2012,5,309870
2012,10,313592
2012,15,320614
2012,20,318532
2012,25,329960
2012,30,330679
2012,35,319820
2012,40,314770
2012,45,324944
2012,50,339366
2012,55,340312
2012,60,309271
2012,65,237195
2012,70,164993
2012,75,118327
2012,80,89211
2012,85,97701
2013,0,301798
2013,5,311213
2013,10,312960
2013,15,318534
2013,20,321932
2013,25,331413
2013,30,335254
2013,35,322803
2013,40,316189
2013,45,321548
2013,50,335917
2013,55,340560
2013,60,317488
2013,65,251365
2013,70,174070
2013,75,121607
2013,80,89034
2013,85,99251
2014,0,300286
2014,5,312562
2014,10,312330
2014,15,316467
2014,20,325368
2014,25,332872
2014,30,339892
2014,35,325814
2014,40,317614
2014,45,318187
2014,50,332503
2014,55,340808
2014,60,325923
2014,65,266382
2014,70,183646
2014,75,124978
2014,80,88857
2014,85,100826
2015,0,298782
2015,5,313917
2015,10,311701
2015,15,314413
2015,20,328841
2015,25,334337
2015,30,344595
2015,35,328853
2015,40,319046
2015,45,314861
2015,50,329124
2015,55,341056
2015,60,334582
2015,65,282295
2015,70,193749
2015,75,128441
2015,80,88681
2015,85,102427
2016,0,303290
2016,5,313461
2016,10,313908
2016,15,314682
2016,20,328525
2016,25,341345
2016,30,349108
2016,35,334612
2016,40,322871
2016,45,317109
2016,50,326574
2016,55,338529
2016,60,336043
2016,65,290726
2016,70,205900
2016,75,135814
2016,80,91486
2016,85,103710
2017,0,307866
2017,5,313005
2017,10,316130
2017,15,314951
2017,20,328210
2017,25,348500
2017,30,353681
2017,35,340472
2017,40,326742
2017,45,319374
2017,50,324044
2017,55,336021
2017,60,337510
2017,65,299409
2017,70,218813
2017,75,143611
2017,80,94380
2017,85,105009
2018,0,312511
2018,5,312550
2018,10,318368
2018,15,315220
2018,20,327895
2018,25,355805
2018,30,358313
2018,35,346435
2018,40,330659
2018,45,321655
2018,50,321533
2018,55,333531
2018,60,338984
2018,65,308351
2018,70,232536
2018,75,151855
2018,80,97365
2018,85,106324
2019,0,317226
2019,5,312096
2019,10,320622
2019,15,315490
2019,20,327580
2019,25,363263
2019,30,363006
2019,35,352502
2019,40,334623
2019,45,323952
2019,50,319042
2019,55,331060
2019,60,340464
2019,65,317560
2019,70,247119
2019,75,160573
2019,80,100445
2019,85,107655
2020,0,322010
2020,5,311642
2020,10,322892
2020,15,315760
2020,20,327266
2020,25,370879
2020,30,367761
2020,35,358676
2020,40,338634
2020,45,326265
2020,50,316570
2020,55,328607
2020,60,341951
2020,65,327043
2020,70,262617
2020,75,169791
2020,80,103621
2020,85,109003
2021,0,326128
2021,5,316364
2021,10,322289
2021,15,317817
2021,20,327773
2021,25,371084
2021,30,375842
2021,35,363547
2021,40,344697
2021,45,330303
2021,50,318966
2021,55,326259
2021,60,339664
2021,65,328721
2021,70,270664
2021,75,180650
2021,80,109800
2021,85,112009
2022,0,330298
2022,5,321157
2022,10,321687
2022,15,319887
2022,20,328281
2022,25,371289
2022,30,384100
2022,35,368484
2022,40,350868
2022,45,334391
2022,50,321381
2022,55,323928
2022,60,337393
2022,65,330408
2022,70,278958
2022,75,192203
2022,80,116347
2022,85,115098
2023,0,334522
2023,5,326023
2023,10,321086
2023,15,321971
2023,20,328790
2023,25,371494
2023,30,392540
2023,35,373488
2023,40,357150
2023,45,338529
2023,50,323814
2023,55,321614
2023,60,335137
2023,65,332103
2023,70,287506
2023,75,204495
2023,80,123285
2023,85,118272
2024,0,338800
2024,5,330962
2024,10,320486
2024,15,324068
2024,20,329299
2024,25,371699
2024,30,401165
2024,35,378560
2024,40,363544
2024,45,342718
2024,50,326265
2024,55,319316
2024,60,332896
2024,65,333807
2024,70,296316
2024,75,217573
2024,80,130636
2024,85,121534
2025,0,343132
2025,5,335976
2025,10,319886
2025,15,326180
2025,20,329809
2025,25,371904
2025,30,409979
2025,35,383699
2025,40,370052
2025,45,346959
2025,50,328735
2025,55,317035
2025,60,330670
2025,65,335519
2025,70,305396
2025,75,231488
2025,80,138425
2025,85,124886
2026,0,345583
2026,5,340193
2026,10,324673
2026,15,325471
2026,20,331805
2026,25,372377
2026,30,410158
2026,35,391975
2026,40,375012
2026,45,353143
2026,50,332819
2026,55,319473
2026,60,328399
2026,65,333371
2026,70,307107
2026,75,238777
2026,80,147528
2026,85,130983
2027,0,348052
2027,5,344463
2027,10,329531
2027,15,324764
2027,20,333813
2027,25,372851
2027,30,410337
2027,35,400429
2027,40,380038
2027,45,359437
2027,50,336954
2027,55,321929
2027,60,326144
2027,65,331237
2027,70,308827
2027,75,246296
2027,80,157230
2027,85,137377
2028,0,350538
2028,5,348787
2028,10,334462
2028,15,324058
2028,20,335834
2028,25,373326
2028,30,410516
2028,35,409065
2028,40,385132
2028,45,365843
2028,50,341140
2028,55,324404
2028,60,323904
2028,65,329117
2028,70,310557
2028,75,254052
2028,80,167570
2028,85,144083
2029,0,353042
2029,5,353165
2029,10,339467
2029,15,323354
2029,20,337867
2029,25,373801
2029,30,410695
2029,35,417888
2029,40,390294
2029,45,372363
2029,50,345378
2029,55,326898
2029,60,321679
2029,65,327010
2029,70,312296
2029,75,262052
2029,80,178590
2029,85,151117
2030,0,355564
2030,5,357598
2030,10,344547
2030,15,322652
2030,20,339912
2030,25,374277
2030,30,410873
2030,35,426901
2030,40,395525
2030,45,379000
2030,50,349669
2030,55,329412
2030,60,319470
2030,65,324918
2030,70,314045
2030,75,270303
2030,80,190336
2030,85,158494
2031,0,357556
2031,5,361836
2031,10,349916
2031,15,327485
2031,20,337092
2031,25,374088
2031,30,409765
2031,35,428115
2031,40,404702
2031,45,383948
2031,50,355650
2031,55,333627
2031,60,322144
2031,65,323029
2031,70,312023
2031,75,272099
2031,80,196567
2031,85,167678
2032,0,359559
2032,5,366124
2032,10,355369
2032,15,332390
2032,20,334295
2032,25,373899
2032,30,408660
2032,35,429332
2032,40,414092
2032,45,388960
2032,50,361734
2032,55,337896
2032,60,324840
2032,65,321151
2032,70,310014
2032,75,273907
2032,80,203002
2032,85,177394
2033,0,361573
2033,5,370463
2033,10,360907
2033,15,337369
2033,20,331522
2033,25,373710
2033,30,407558
2033,35,430553
2033,40,423700
2033,45,394038
2033,50,367922
2033,55,342220
2033,60,327559
2033,65,319283
2033,70,308018
2033,75,275727
2033,80,209647
2033,85,187673
2034,0,363598
2034,5,374853
2034,10,366531
2034,15,342422
2034,20,328772
2034,25,373521
2034,30,406459
2034,35,431777
2034,40,433531
2034,45,399182
2034,50,374215
2034,55,346599
2034,60,330301
2034,65,317426
2034,70,306035
2034,75,277559
2034,80,216510
2034,85,198548
2035,0,365634
2035,5,379296
2035,10,372244
2035,15,347551
2035,20,326044
2035,25,373333
2035,30,405361
2035,35,433005
2035,40,443591
2035,45,404392
2035,50,380616
2035,55,351034
2035,60,333066
2035,65,315580
2035,70,304063
2035,75,279403
2035,80,223597
2035,85,210054
2036,0,366238
2036,5,381275
2036,10,376564
2036,15,352905
2036,20,330837
2036,25,370022
2036,30,404968
2036,35,431716
2036,40,444764
2036,45,413739
2036,50,385572
2036,55,357023
2036,60,337323
2036,65,318277
2036,70,302440
2036,75,277857
2036,80,225428
2036,85,220247
2037,0,366843
2037,5,383265
2037,10,380934
2037,15,358342
2037,20,335701
2037,25,366741
2037,30,404575
2037,35,430431
2037,40,445940
2037,45,423302
2037,50,390592
2037,55,363114
2037,60,341634
2037,65,320997
2037,70,300826
2037,75,276319
2037,80,227274
2037,85,230935
2038,0,367449
2038,5,385265
2038,10,385355
2038,15,363863
2038,20,340636
2038,25,363489
2038,30,404183
2038,35,429149
2038,40,447119
2038,45,433086
2038,50,395678
2038,55,369309
2038,60,346000
2038,65,323740
2038,70,299221
2038,75,274790
2038,80,229135
2038,85,242142
2039,0,368056
2039,5,387276
2039,10,389828
2039,15,369469
2039,20,345644
2039,25,360266
2039,30,403791
2039,35,427871
2039,40,448301
2039,45,443096
2039,50,400830
2039,55,375609
2039,60,350422
2039,65,326506
2039,70,297624
2039,75,273269
2039,80,231011
2039,85,253892
2040,0,368665
2040,5,389297
2040,10,394353
2040,15,375160
2040,20,350725
2040,25,357071
2040,30,403400
2040,35,426597
2040,40,449486
2040,45,453336
2040,50,406049
2040,55,382016
2040,60,354901
2040,65,329296
2040,70,296036
2040,75,271756
2040,80,232901
2040,85,266213
2041,0,369232
2041,5,389782
2041,10,396309
2041,15,379443
2041,20,356022
2041,25,362096
2041,30,399625
2041,35,426052
2041,40,448048
2041,45,454486
2041,50,415410
2041,55,386966
2041,60,360936
2041,65,333543
2041,70,298700
2041,75,270515
2041,80,231922
2041,85,274744
2042,0,369800
2042,5,390268
2042,10,398274
2042,15,383774
2042,20,361399
2042,25,367192
2042,30,395885
2042,35,425508
2042,40,446614
2042,45,455639
2042,50,424986
2042,55,391980
2042,60,367074
2042,65,337844
2042,70,301388
2042,75,269279
2042,80,230947
2042,85,283549
2043,0,370369
2043,5,390754
2043,10,400249
2043,15,388155
2043,20,366858
2043,25,372360
2043,30,392180
2043,35,424964
2043,40,445185
2043,45,456795
2043,50,434783
2043,55,397059
2043,60,373316
2043,65,342201
2043,70,304100
2043,75,268049
2043,80,229976
2043,85,292636
2044,0,370939
2044,5,391241
2044,10,402234
2044,15,392586
2044,20,372399
2044,25,377601
2044,30,388510
2044,35,424421
2044,40,443761
2044,45,457954
2044,50,444806
2044,55,402204
2044,60,379665
2044,65,346614
2044,70,306836
2044,75,266825
2044,80,229009
2044,85,302014
2045,0,371510
2045,5,391729
2045,10,404229
2045,15,397067
2045,20,378024
2045,25,382915
2045,30,384875
2045,35,423878
2045,40,442341
2045,45,459117
2045,50,455060
2045,55,407415
2045,60,386122
2045,65,351084
2045,70,309597
2045,75,265606
2045,80,228047
2045,85,311693
2046,0,372024
2046,5,392161
2046,10,404620
2046,15,398955
2046,20,382218
2046,25,388439
2046,30,390085
2046,35,419772
2046,40,441664
2046,45,457589
2046,50,456179
2046,55,416768
2046,60,391097
2046,65,357083
2046,70,313714
2046,75,268200
2046,80,227275
2046,85,317642
2047,0,372539
2047,5,392594
2047,10,405012
2047,15,400852
2047,20,386459
2047,25,394043
2047,30,395365
2047,35,415705
2047,40,440988
2047,45,456066
2047,50,457301
2047,55,426336
2047,60,396136
2047,65,363184
2047,70,317886
2047,75,270820
2047,80,226506
2047,85,323704
2048,0,373054
2048,5,393027
2048,10,405404
2048,15,402758
2048,20,390747
2048,25,399728
2048,30,400717
2048,35,411678
2048,40,440313
2048,45,454548
2048,50,458426
2048,55,436124
2048,60,401240
2048,65,369389
2048,70,322113
2048,75,273465
2048,80,225739
2048,85,329882
2049,0,373570
2049,5,393460
2049,10,405797
2049,15,404673
2049,20,395082
2049,25,405495
2049,30,406141
2049,35,407690
2049,40,439639
2049,45,453035
2049,50,459553
2049,55,446136
2049,60,406410
2049,65,375700
2049,70,326396
2049,75,276136
2049,80,224975
2049,85,336178
2050,0,374087
2050,5,393894
2050,10,406190
2050,15,406597
2050,20,399465
2050,25,411345
2050,30,411638
2050,35,403740
2050,40,438964
2050,45,451526
2050,50,460683
2050,55,456378
2050,60,411645
2050,65,382120
2050,70,330737
2050,75,278833
2050,80,224214
2050,85,342595
